state,state_full,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,latitude,longitude,state_yr,temp_min,temp_max,temp_min C,temp_max C
PR,Puerto Rico,0,0,0,0,0,0,1998,0,0,PR_1998,0,0,0,0
AL,Alabama,17000,68,1156000,185000,0.56,647000,1999,32.361538,-86.279118,AL_1999,47.59,82.82,8.662,28.234
AK,Alaska,0,0,0,0,0,0,1999,0,0,AK_1999,0,0,0,0
AZ,Arizona,52000,62,3224000,1548000,0.62,1999000,1999,33.448457,-112.073844,AZ_1999,41.53,78.73,5.294,25.96
AR,Arkansas,52000,89,4628000,2592000,0.53,2453000,1999,34.736009,-92.331122,AR_1999,42.82,82.19,6.013,27.886
CA,California,465000,60,27900000,9486000,0.55,15345000,1999,38.555605,-121.468926,CA_1999,45.01,73.46,7.227,23.032
CO,Colorado,27000,76,2052000,1436000,0.68,1395000,1999,39.7391667,-104.984167,CO_1999,27.22,68.41,-2.657,20.226
CT,Connecticut,0,0,0,0,0,0,1999,0,0,CT_1999,0,0,0,0
DE,Delaware,0,0,0,0,0,0,1999,0,0,DE_1999,0,0,0,0
DC,District of Columbia,0,0,0,0,0,0,1999,0,0,DC_1999,0,0,0,0
FL,Florida,228000,102,23256000,4186000,0.53,12326000,1999,30.4518,-84.27277,FL_1999,60.79,83.53,15.995,28.63
GA,Georgia,65000,51,3315000,497000,0.64,2122000,1999,-84.27277,-84.39,GA_1999,48.76,82.84,9.309,28.242
HI,Hawaii,8000,80,640000,32000,0.8,512000,1999,21.30895,-157.826182,HI_1999,69.6,75.57,20.889,24.205
ID,Idaho,120000,48,5760000,3110000,0.59,3398000,1999,43.613739,-116.237651,ID_1999,24.49,64.73,-4.17,18.186
IL,Illinois,9000,66,594000,327000,1.15,683000,1999,39.78325,-89.650373,IL_1999,25.48,79.51,-3.622,26.396
IN,Indiana,10000,81,810000,437000,0.9,729000,1999,39.790942,-86.147685,IN_1999,27.58,79.26,-2.453,26.256
IA,Iowa,40000,65,2600000,2028000,0.65,1690000,1999,41.590939,-93.620866,IA_1999,18.01,78.21,-7.77,25.671
KS,Kansas,13000,67,871000,854000,1.11,967000,1999,-93.620866,-95.69,KS_1999,31.94,81.38,-0.036,27.432
KY,Kentucky,3000,50,150000,12000,1.24,186000,1999,38.197274,38.197274,KY_1999,37.23,80.37,2.907,26.873
LA,Louisiana,48000,114,5472000,821000,0.49,2681000,1999,30.45809,-91.140229,LA_1999,51.65,85.35,10.918,29.641
ME,Maine,14000,22,308000,89000,0.83,256000,1999,44.323535,-69.765261,ME_1999,15.18,67.87,-9.344,19.925
MD,Maryland,6000,46,276000,50000,1.64,453000,1999,38.972945,-76.501157,MD_1999,36.56,79.29,2.531,26.274
MA,Massachusetts,0,0,0,0,0,0,1999,0,0,MA_1999,0,0,0,0
MI,Michigan,73000,85,6205000,3475000,0.66,4095000,1999,42.7335,-84.5467,MI_1999,18.74,72.06,-7.366,22.255
MN,Minnesota,145000,82,11890000,3210000,0.61,7253000,1999,44.95,-93.094,MN_1999,8.47,71.82,-13.075,22.122
MS,Mississippi,18000,73,1314000,591000,0.54,710000,1999,32.32,-90.207,MS_1999,48.27,83.64,9.037,28.687
MO,Missouri,24000,65,1560000,437000,0.68,1061000,1999,38.572954,-92.189283,MO_1999,30.5,81.01,-0.836,27.228
MT,Montana,122000,70,8540000,2135000,0.6,5124000,1999,46.595805,-112.027031,MT_1999,21.92,66.75,-5.598,19.304
NE,Nebraska,58000,77,4466000,1965000,0.61,2724000,1999,40.809868,-96.675345,NE_1999,26.23,76.87,-3.206,24.926
NV,Nevada,9000,45,405000,271000,1.54,624000,1999,39.160949,-119.753877,NV_1999,31.86,71.72,-0.077,22.069
NH,New Hampshire,0,0,0,0,0,0,1999,0,0,NH_1999,0,0,0,0
NJ,New Jersey,10000,44,440000,154000,0.57,251000,1999,40.221741,-74.756138,NJ_1999,32.45,77.99,0.248,25.552
NM,New Mexico,15000,52,780000,476000,0.77,601000,1999,35.667231,-105.964575,NM_1999,34.13,73.16,1.185,22.864
NY,New York,69000,70,4830000,2077000,0.66,3188000,1999,42.659829,-73.781339,NY_1999,21.64,72.81,-5.757,22.673
NC,North Carolina,9000,46,414000,104000,1.62,671000,1999,35.771,-78.638,NC_1999,44.2,79.53,6.778,26.405
ND,North Dakota,255000,105,26775000,8836000,0.59,15797000,1999,48.813343,-100.779004,ND_1999,7.5,69.87,-13.613,21.039
OH,Ohio,20000,74,1480000,784000,0.72,1066000,1999,39.962245,-83.000647,OH_1999,28.71,78.14,-1.83,25.633
OK,Oklahoma,6000,45,270000,49000,1.34,362000,1999,35.482309,-97.534994,OK_1999,40.04,84.24,4.466,29.021
OR,Oregon,45000,57,2565000,2026000,0.8,2052000,1999,44.931109,-123.029159,OR_1999,33.82,64.67,1.009,18.149
PA,Pennsylvania,28000,60,1680000,790000,0.76,1277000,1999,40.269789,-76.875613,PA_1999,27.58,75.37,-2.458,24.092
RI,Rhode Island,0,0,0,0,0,0,1999,0,0,RI_1999,0,0,0,0
SC,South Carolina,0,0,0,0,0,0,1999,34,-81.035,SC_1999,47.88,82.72,8.824,28.177
SD,South Dakota,224000,104,23296000,13046000,0.6,13978000,1999,44.367966,-100.336378,SD_1999,17.88,74.16,-7.844,23.422
TN,Tennessee,8000,51,408000,106000,1.3,530000,1999,36.165,-86.784,TN_1999,41.69,80.13,5.382,26.738
TX,Texas,108000,81,8748000,2799000,0.64,5599000,1999,30.266667,-97.75,TX_1999,48.58,84.85,9.213,29.36
UT,Utah,26000,45,1170000,433000,0.68,796000,1999,40.7547,-111.892622,UT_1999,27.98,71.01,-2.232,21.673
VT,Vermont,6000,66,396000,222000,0.63,249000,1999,44.26639,-72.57194,VT_1999,17.89,69.95,-7.841,21.085
VA,Virginia,7000,35,245000,86000,1.17,287000,1999,37.54,-77.46,VA_1999,39.61,78.67,4.23,25.929
WA,Washington,52000,50,2600000,1170000,0.6,1560000,1999,47.042418,-122.893077,WA_1999,33.66,65.33,0.921,18.517
WV,West Virginia,6000,39,234000,152000,1.09,255000,1999,38.349497,-81.633294,WV_1999,34.55,76.93,1.417,24.959
WI,Wisconsin,80000,75,6.00E+06,4560000,0.68,4080000,1999,43.074722,-89.384444,WI_1999,13.03,73.1,-10.537,22.834
WY,Wyoming,37000,72,2664000,746000,0.61,1625000,1999,41.145548,-104.802042,WY_1999,24.76,66.32,-4.02,19.067
PR,Puerto Rico,0,0,0,0,0,0,1999,0,0,PR_1999,0,0,0,0
AL,Alabama,16000,78,1248000,187000,0.59,736000,2000,32.361538,-86.279118,AL_2000,39.6,82.67,4.224,28.149
AK,Alaska,0,0,0,0,0,0,2000,0,0,AK_2000,0,0,0,0
AZ,Arizona,40000,59,2360000,1322000,0.73,1723000,2000,33.448457,-112.073844,AZ_2000,43.72,81.85,6.513,27.692
AR,Arkansas,52000,93,4836000,3337000,0.57,2757000,2000,34.736009,-92.331122,AR_2000,31.84,84.56,-0.088,29.199
CA,California,440000,70,30800000,11396000,0.59,18172000,2000,38.555605,-121.468926,CA_2000,45.8,75.05,7.667,23.915
CO,Colorado,29000,60,1740000,957000,0.62,1079000,2000,39.7391667,-104.984167,CO_2000,24.92,69.84,-3.935,21.021
CT,Connecticut,0,0,0,0,0,0,2000,0,0,CT_2000,0,0,0,0
DE,Delaware,0,0,0,0,0,0,2000,0,0,DE_2000,0,0,0,0
DC,District of Columbia,0,0,0,0,0,0,2000,0,0,DC_2000,0,0,0,0
FL,Florida,232000,105,24360000,2923000,0.54,13154000,2000,30.4518,-84.27277,FL_2000,58.15,82.58,14.529,28.1
GA,Georgia,55000,57,3135000,376000,0.63,1975000,2000,-84.27277,-84.39,GA_2000,41.46,81.72,5.258,27.622
HI,Hawaii,7000,112,784000,125000,0.82,643000,2000,21.30895,-157.826182,HI_2000,69.34,76.64,20.747,24.801
ID,Idaho,1.00E+05,47,4700000,2679000,0.52,2444000,2000,43.613739,-116.237651,ID_2000,22.75,66.2,-5.141,19.002
IL,Illinois,8000,61,488000,146000,1.17,571000,2000,39.78325,-89.650373,IL_2000,18.33,75.62,-7.593,24.232
IN,Indiana,8000,65,520000,286000,1.03,536000,2000,39.790942,-86.147685,IN_2000,19.9,73.47,-6.72,23.04
IA,Iowa,30000,67,2010000,1206000,0.68,1367000,2000,41.590939,-93.620866,IA_2000,11.09,74.28,-11.615,23.491
KS,Kansas,15000,68,1020000,520000,0.91,928000,2000,-93.620866,-95.69,KS_2000,24.38,83.69,-4.235,28.716
KY,Kentucky,4000,48,192000,54000,1.35,259000,2000,38.197274,38.197274,KY_2000,26.82,75.79,-2.876,24.329
LA,Louisiana,43000,94,4042000,1334000,0.52,2102000,2000,30.45809,-91.140229,LA_2000,44.27,84.93,6.819,29.405
