state,state_full,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,latitude,longitude,state_yr,temp_min,temp_max,temp_min C,temp_max C
IA,Iowa,33000,70,2310000,901000,1.43,3303000,2002,41.590939,-93.620866,IA_2002,29.21,77.98,-1.549,25.542
KS,Kansas,17000,52,884000,407000,1.5,1326000,2002,-93.620866,-95.69,KS_2002,33.97,81.76,1.097,27.645
KY,Kentucky,5000,54,270000,78000,1.63,440000,2002,38.197274,38.197274,KY_2002,36.79,79.46,2.659,26.369
LA,Louisiana,35000,124,4340000,347000,1.16,5034000,2002,30.45809,-91.140229,LA_2002,50.04,83,10.024,28.334
ME,Maine,11000,41,451000,266000,1.21,546000,2002,44.323535,-69.765261,ME_2002,20.9,66.79,-6.166,19.33
MD,Maryland,3000,46,138000,21000,1.96,270000,2002,38.972945,-76.501157,MD_2002,34.9,77.92,1.611,25.51
MA,Massachusetts,0,0,0,0,0,0,2002,0,0,MA_2002,0,0,0,0
MI,Michigan,72000,77,5544000,1885000,1.4,7762000,2002,42.7335,-84.5467,MI_2002,27.16,72.61,-2.689,22.563
MN,Minnesota,117000,73,8541000,1110000,1.47,12555000,2002,44.95,-93.094,MN_2002,18.5,72.77,-7.498,22.652
MS,Mississippi,18000,78,1404000,281000,1.23,1727000,2002,32.32,-90.207,MS_2002,46.97,82.17,8.319,27.872
MO,Missouri,18000,50,9.00E+05,189000,1.42,1278000,2002,38.572954,-92.189283,MO_2002,35.45,80.21,1.918,26.785
MT,Montana,134000,63,8442000,1097000,1.38,11650000,2002,46.595805,-112.027031,MT_2002,19.72,69.92,-6.82,21.067
NE,Nebraska,43000,75,3225000,1161000,1.49,4805000,2002,40.809868,-96.675345,NE_2002,29.51,79.44,-1.381,26.353
NV,Nevada,9000,62,558000,61000,2.67,1490000,2002,39.160949,-119.753877,NV_2002,30.03,76.66,-1.096,24.81
NH,New Hampshire,0,0,0,0,0,0,2002,0,0,NH_2002,0,0,0,0
NJ,New Jersey,11000,40,440000,92000,1,440000,2002,40.221741,-74.756138,NJ_2002,32.86,76.19,0.475,24.55
NM,New Mexico,11000,44,484000,252000,1.1,532000,2002,35.667231,-105.964575,NM_2002,34.29,74.53,1.272,23.628
NY,New York,60000,98,5880000,2470000,1.25,7350000,2002,42.659829,-73.781339,NY_2002,25.94,71.59,-3.364,21.993
NC,North Carolina,16000,42,672000,74000,1.41,948000,2002,35.771,-78.638,NC_2002,41.15,79.67,5.084,26.481
ND,North Dakota,320000,75,2.40E+07,8160000,1.46,35040000,2002,48.813343,-100.779004,ND_2002,16.85,73.09,-8.419,22.829
OH,Ohio,18000,70,1260000,504000,1.44,1814000,2002,39.962245,-83.000647,OH_2002,31.11,77.01,-0.492,25.007
OK,Oklahoma,3000,53,159000,51000,1.63,259000,2002,35.482309,-97.534994,OK_2002,40.59,82.2,4.773,27.891
OR,Oregon,43000,49,2107000,885000,1.35,2844000,2002,44.931109,-123.029159,OR_2002,31.98,68.5,-0.01,20.276
PA,Pennsylvania,29000,57,1653000,827000,1.34,2215000,2002,40.269789,-76.875613,PA_2002,28.69,74.03,-1.84,23.349
RI,Rhode Island,0,0,0,0,0,0,2002,0,0,RI_2002,0,0,0,0
SC,South Carolina,5000,94,470000,14000,1.25,588000,2002,34,-81.035,SC_2002,45.35,82.62,7.416,28.122
SD,South Dakota,225000,51,11475000,2410000,1.42,16295000,2002,44.367966,-100.336378,SD_2002,22.83,78.14,-5.095,25.632
TN,Tennessee,8000,61,488000,137000,1.4,683000,2002,36.165,-86.784,TN_2002,39.5,79.44,4.169,26.353
TX,Texas,114000,67,7638000,985000,1.14,8707000,2002,30.266667,-97.75,TX_2002,47.22,83.41,8.458,28.56
UT,Utah,22000,59,1298000,208000,1.3,1687000,2002,40.7547,-111.892622,UT_2002,25.17,75.61,-3.792,24.226
VT,Vermont,7000,89,623000,274000,1.2,748000,2002,44.26639,-72.57194,VT_2002,22.36,68.27,-5.354,20.148
VA,Virginia,8000,38,304000,79000,1.9,578000,2002,37.54,-77.46,VA_2002,36.41,77.83,2.451,25.461
WA,Washington,50000,51,2550000,561000,1.27,3239000,2002,47.042418,-122.893077,WA_2002,32.28,66.23,0.155,19.015
WV,West Virginia,9000,51,459000,151000,1.32,606000,2002,38.349497,-81.633294,WV_2002,33.11,75.35,0.614,24.084
WI,Wisconsin,70000,95,6650000,2461000,1.34,8911000,2002,43.074722,-89.384444,WI_2002,24.89,73.43,-3.95,23.018
WY,Wyoming,38000,63,2394000,383000,1.33,3184000,2002,41.145548,-104.802042,WY_2002,20.63,70.09,-6.315,21.162
PR,Puerto Rico,0,0,0,0,0,0,2002,0,0,PR_2002,0,0,0,0
AL,Alabama,13000,82,1066000,43000,1.24,1322000,2003,32.361538,-86.279118,AL_2003,40.71,80.46,4.84,26.923
AK,Alaska,0,0,0,0,0,0,2003,0,0,AK_2003,0,0,0,0
AZ,Arizona,35000,72,2520000,983000,1.34,3377000,2003,33.448457,-112.073844,AZ_2003,42.5,84.21,5.835,29.006
AR,Arkansas,40000,75,3.00E+06,810000,1.26,3780000,2003,34.736009,-92.331122,AR_2003,36.96,81.67,2.754,27.592
CA,California,480000,67,32160000,6432000,1.39,44702000,2003,38.555605,-121.468926,CA_2003,44.04,78.63,6.689,25.903
CO,Colorado,24000,86,2064000,722000,1.4,2890000,2003,39.7391667,-104.984167,CO_2003,25.87,72.47,-3.404,22.484
CT,Connecticut,0,0,0,0,0,0,2003,0,0,CT_2003,0,0,0,0
DE,Delaware,0,0,0,0,0,0,2003,0,0,DE_2003,0,0,0,0
DC,District of Columbia,0,0,0,0,0,0,2003,0,0,DC_2003,0,0,0,0
FL,Florida,210000,71,14910000,1491000,1.32,19681000,2003,30.4518,-84.27277,FL_2003,53.86,81.9,12.145,27.722
GA,Georgia,52000,65,3380000,270000,1.28,4326000,2003,-84.27277,-84.39,GA_2003,43.15,80.19,6.197,26.773
HI,Hawaii,7000,114,798000,43000,1.45,1157000,2003,21.30895,-157.826182,HI_2003,70.04,77.41,21.132,25.226
ID,Idaho,1.00E+05,46,4600000,1380000,1.33,6118000,2003,43.613739,-116.237651,ID_2003,25.87,70.21,-3.406,21.23
IL,Illinois,7000,60,420000,252000,1.83,769000,2003,39.78325,-89.650373,IL_2003,23.33,76.45,-4.815,24.692
IN,Indiana,5000,56,280000,78000,1.66,465000,2003,39.790942,-86.147685,IN_2003,22.44,75.22,-5.312,24.013
IA,Iowa,32000,59,1888000,868000,1.42,2681000,2003,41.590939,-93.620866,IA_2003,20.08,75.63,-6.622,24.239
KS,Kansas,16000,57,912000,447000,1.41,1286000,2003,-93.620866,-95.69,KS_2003,31.56,82.72,-0.247,28.178
KY,Kentucky,5000,48,240000,14000,1.67,401000,2003,38.197274,38.197274,KY_2003,28.63,76.98,-1.875,24.989
LA,Louisiana,34000,90,3060000,275000,1.24,3794000,2003,30.45809,-91.140229,LA_2003,46.29,83.18,7.939,28.433
ME,Maine,8000,33,264000,145000,1.41,372000,2003,44.323535,-69.765261,ME_2003,9.6,66.21,-12.446,19.008
MD,Maryland,2000,42,84000,21000,1.93,162000,2003,38.972945,-76.501157,MD_2003,29.11,76.36,-1.604,24.642
MA,Massachusetts,0,0,0,0,0,0,2003,0,0,MA_2003,0,0,0,0
MI,Michigan,65000,74,4810000,1732000,1.41,6782000,2003,42.7335,-84.5467,MI_2003,16.79,69.45,-8.45,20.803
MN,Minnesota,120000,83,9960000,1892000,1.44,14342000,2003,44.95,-93.094,MN_2003,10.31,71.03,-12.05,21.686
MS,Mississippi,21000,69,1449000,246000,1.29,1869000,2003,32.32,-90.207,MS_2003,41.42,81.91,5.231,27.727
MO,Missouri,17000,53,901000,189000,1.41,1270000,2003,38.572954,-92.189283,MO_2003,27.7,79.87,-2.388,26.597
MT,Montana,145000,66,9570000,1914000,1.44,13781000,2003,46.595805,-112.027031,MT_2003,20.98,70.69,-6.121,21.497
NE,Nebraska,45000,74,3330000,1299000,1.38,4595000,2003,40.809868,-96.675345,NE_2003,25.17,77.51,-3.796,25.281
NV,Nevada,6000,64,384000,46000,2.04,783000,2003,39.160949,-119.753877,NV_2003,32.65,77.29,0.361,25.16
NH,New Hampshire,0,0,0,0,0,0,2003,0,0,NH_2003,0,0,0,0
NJ,New Jersey,10000,19,190000,101000,1.6,304000,2003,40.221741,-74.756138,NJ_2003,25.7,74.87,-3.499,23.814
NM,New Mexico,6000,41,246000,108000,1.2,295000,2003,35.667231,-105.964575,NM_2003,36.68,77.44,2.602,25.244
NY,New York,67000,72,4824000,1640000,1.36,6561000,2003,42.659829,-73.781339,NY_2003,15.71,70.76,-9.049,21.533
NC,North Carolina,10000,44,440000,79000,1.92,845000,2003,35.771,-78.638,NC_2003,36.82,78.18,2.679,25.656
ND,North Dakota,340000,87,29580000,6803000,1.36,40229000,2003,48.813343,-100.779004,ND_2003,9.39,73.22,-12.563,22.898
OH,Ohio,15000,50,750000,278000,1.4,1050000,2003,39.962245,-83.000647,OH_2003,22.06,73.76,-5.523,23.199
OK,Oklahoma,3000,47,141000,69000,1.84,259000,2003,35.482309,-97.534994,OK_2003,37.56,84.35,3.088,29.083
OR,Oregon,42000,51,2142000,964000,1.27,2720000,2003,44.931109,-123.029159,OR_2003,34.23,69.81,1.239,21.004
PA,Pennsylvania,27000,50,1350000,419000,1.44,1944000,2003,40.269789,-76.875613,PA_2003,21.42,72.38,-5.88,22.433
RI,Rhode Island,0,0,0,0,0,0,2003,0,0,RI_2003,0,0,0,0
SC,South Carolina,4000,70,280000,8000,1.89,529000,2003,34,-81.035,SC_2003,42.37,80.36,5.761,26.866
SD,South Dakota,215000,70,15050000,2709000,1.43,21522000,2003,44.367966,-100.336378,SD_2003,19.04,75.77,-7.199,24.314
TN,Tennessee,6000,40,240000,46000,1.52,365000,2003,36.165,-86.784,TN_2003,32.36,77.89,0.201,25.495
TX,Texas,140000,67,9380000,1126000,1.4,13132000,2003,30.266667,-97.75,TX_2003,46.12,83.47,7.842,28.594
UT,Utah,25000,57,1425000,157000,1.28,1824000,2003,40.7547,-111.892622,UT_2003,29.65,76.47,-1.307,24.707
VT,Vermont,7000,83,581000,163000,1.96,1139000,2003,44.26639,-72.57194,VT_2003,11.13,68.38,-11.594,20.212
VA,Virginia,6000,37,222000,69000,1.68,373000,2003,37.54,-77.46,VA_2003,31.39,76.48,-0.337,24.71
WA,Washington,58000,56,3248000,942000,1.46,4742000,2003,47.042418,-122.893077,WA_2003,31.61,67.77,-0.219,19.872
WV,West Virginia,8000,47,376000,194000,1.89,711000,2003,38.349497,-81.633294,WV_2003,26.21,73.71,-3.216,23.17
WI,Wisconsin,74000,77,5698000,2678000,1.47,8376000,2003,43.074722,-89.384444,WI_2003,14.47,70.84,-9.741,21.578
WY,Wyoming,39000,81,3159000,474000,1.41,4454000,2003,41.145548,-104.802042,WY_2003,20.77,70.54,-6.24,21.411
PR,Puerto Rico,0,0,0,0,0,0,2003,0,0,PR_2003,0,0,0,0
AL,Alabama,12000,87,1044000,282000,1.41,1472000,2004,32.361538,-86.279118,AL_2004,44.61,80.24,7.003,26.8
AK,Alaska,0,0,0,0,0,0,2004,0,0,AK_2004,0,0,0,0
AZ,Arizona,32000,55,1760000,774000,1.11,1954000,2004,33.448457,-112.073844,AZ_2004,41.97,80.62,5.541,27.013
AR,Arkansas,40000,57,2280000,388000,0.87,1984000,2004,34.736009,-92.331122,AR_2004,40.85,78.59,4.914,25.882
CA,California,390000,45,17550000,5792000,1.05,18428000,2004,38.555605,-121.468926,CA_2004,43.69,76.13,6.494,24.515
CO,Colorado,23000,80,1840000,791000,1.35,2484000,2004,39.7391667,-104.984167,CO_2004,25.44,66.17,-3.645,18.986
CT,Connecticut,0,0,0,0,0,0,2004,0,0,CT_2004,0,0,0,0
DE,Delaware,0,0,0,0,0,0,2004,0,0,DE_2004,0,0,0,0
DC,District of Columbia,0,0,0,0,0,0,2004,0,0,DC_2004,0,0,0,0
FL,Florida,205000,98,20090000,2009000,1.02,20492000,2004,30.4518,-84.27277,FL_2004,58.25,82.46,14.581,28.033
GA,Georgia,63000,49,3087000,648000,1.2,3704000,2004,-84.27277,-84.39,GA_2004,45.89,80.94,7.718,27.19
HI,Hawaii,8000,96,768000,77000,1.59,1221000,2004,21.30895,-157.826182,HI_2004,70.79,77.62,21.551,25.342
ID,Idaho,1.00E+05,63,6300000,2520000,1.02,6426000,2004,43.613739,-116.237651,ID_2004,21.21,66.01,-5.997,18.897
IL,Illinois,7000,55,385000,193000,1.86,716000,2004,39.78325,-89.650373,IL_2004,25.03,73.75,-3.87,23.192
IN,Indiana,7000,59,413000,145000,1.47,607000,2004,39.790942,-86.147685,IN_2004,25.13,73.51,-3.819,23.061
IA,Iowa,35000,67,2345000,1337000,1.06,2486000,2004,41.590939,-93.620866,IA_2004,18.76,71.94,-7.358,22.19
KS,Kansas,14000,80,1120000,683000,1.18,1322000,2004,-93.620866,-95.69,KS_2004,30.51,76.17,-0.83,24.537
KY,Kentucky,5000,56,280000,34000,1.96,549000,2004,38.197274,38.197274,KY_2004,32.45,75.41,0.251,24.118
LA,Louisiana,35000,98,3430000,240000,0.79,2710000,2004,30.45809,-91.140229,LA_2004,49.7,82.11,9.834,27.837
ME,Maine,7000,31,217000,37000,1.28,278000,2004,44.323535,-69.765261,ME_2004,6.58,64.93,-14.121,18.296
MD,Maryland,0,0,0,0,0,0,2004,38.972945,-76.501157,MD_2004,28.66,75.66,-1.858,24.254
MA,Massachusetts,0,0,0,0,0,0,2004,0,0,MA_2004,0,0,0,0
MI,Michigan,65000,67,4355000,2439000,1.16,5052000,2004,42.7335,-84.5467,MI_2004,14.97,66.73,-9.459,19.294
MN,Minnesota,135000,75,10125000,1924000,1.08,10935000,2004,44.95,-93.094,MN_2004,5.57,67.29,-14.686,19.605
MS,Mississippi,18000,65,1170000,421000,0.79,924000,2004,32.32,-90.207,MS_2004,46.1,80.71,7.835,27.059
MO,Missouri,16000,41,656000,151000,1.36,892000,2004,38.572954,-92.189283,MO_2004,29.77,75.39,-1.237,24.108
MT,Montana,140000,77,10780000,3773000,1.08,11642000,2004,46.595805,-112.027031,MT_2004,16.9,66.44,-8.39,19.134
NE,Nebraska,51000,89,4539000,2043000,1.01,4584000,2004,40.809868,-96.675345,NE_2004,24.08,72.79,-4.398,22.661
NV,Nevada,14000,55,770000,316000,1.78,1371000,2004,39.160949,-119.753877,NV_2004,29.41,74.05,-1.439,23.36
NH,New Hampshire,0,0,0,0,0,0,2004,0,0,NH_2004,0,0,0,0
NJ,New Jersey,12000,27,324000,45000,1.4,454000,2004,40.221741,-74.756138,NJ_2004,23.92,73.2,-4.489,22.887
NM,New Mexico,8000,44,352000,127000,1.19,419000,2004,35.667231,-105.964575,NM_2004,35.22,73.12,1.787,22.845
NY,New York,64000,67,4288000,1887000,1.36,5832000,2004,42.659829,-73.781339,NY_2004,13.78,68.78,-10.121,20.431
NC,North Carolina,9000,40,360000,72000,1.93,695000,2004,35.771,-78.638,NC_2004,38.37,78.11,3.539,25.617
ND,North Dakota,390000,78,30420000,9126000,1.05,31941000,2004,48.813343,-100.779004,ND_2004,4.34,68.09,-15.366,20.051
OH,Ohio,16000,58,928000,353000,1.53,1420000,2004,39.962245,-83.000647,OH_2004,23.83,72.79,-4.541,22.659
OK,Oklahoma,0,0,0,0,0,0,2004,35.482309,-97.534994,OK_2004,39.51,79.07,4.172,26.151
OR,Oregon,42000,54,2268000,1111000,1.21,2744000,2004,44.931109,-123.029159,OR_2004,32.08,67.7,0.047,19.835
PA,Pennsylvania,30000,54,1620000,810000,1.42,2300000,2004,40.269789,-76.875613,PA_2004,20.73,70.61,-6.26,21.452
RI,Rhode Island,0,0,0,0,0,0,2004,0,0,RI_2004,0,0,0,0
SC,South Carolina,0,0,0,0,0,0,2004,34,-81.035,SC_2004,43.81,81.16,6.559,27.309
SD,South Dakota,215000,105,22575000,13545000,1.01,22801000,2004,44.367966,-100.336378,SD_2004,16.47,71.72,-8.629,22.069
TN,Tennessee,6000,54,324000,91000,1.73,561000,2004,36.165,-86.784,TN_2004,37,76.39,2.779,24.662
TX,Texas,116000,76,8816000,1411000,0.97,8552000,2004,30.266667,-97.75,TX_2004,47.32,81.24,8.51,27.353
UT,Utah,24000,70,1680000,554000,1.1,1848000,2004,40.7547,-111.892622,UT_2004,23.95,71.5,-4.474,21.944
VT,Vermont,6000,68,408000,192000,1.51,616000,2004,44.26639,-72.57194,VT_2004,8.65,66.7,-12.971,19.277
VA,Virginia,7000,38,266000,69000,2.1,559000,2004,37.54,-77.46,VA_2004,32.36,75.73,0.2,24.295
WA,Washington,56000,63,3528000,1376000,0.98,3457000,2004,47.042418,-122.893077,WA_2004,29.56,67.43,-1.354,19.683
WV,West Virginia,9000,55,495000,183000,1.41,698000,2004,38.349497,-81.633294,WV_2004,27.78,72.52,-2.347,22.509
WI,Wisconsin,68000,86,5848000,2632000,1.19,6959000,2004,43.074722,-89.384444,WI_2004,11.58,67.5,-11.342,19.721
WY,Wyoming,39000,75,2925000,380000,1.1,3218000,2004,41.145548,-104.802042,WY_2004,21.49,64.91,-5.838,18.281
PR,Puerto Rico,0,0,0,0,0,0,2004,0,0,PR_2004,0,0,0,0
AL,Alabama,13000,66,858000,266000,1.02,875000,2005,32.361538,-86.279118,AL_2005,43.95,81.53,6.637,27.514
AK,Alaska,0,0,0,0,0,0,2005,0,0,AK_2005,0,0,0,0
AZ,Arizona,36000,50,1800000,720000,1.04,1872000,2005,33.448457,-112.073844,AZ_2005,43.39,83.19,6.326,28.44
AR,Arkansas,36000,69,2484000,571000,0.97,2409000,2005,34.736009,-92.331122,AR_2005,40.12,82.92,4.512,28.29
CA,California,4.00E+05,75,3.00E+07,9300000,0.86,25800000,2005,38.555605,-121.468926,CA_2005,44.27,78.32,6.816,25.731
CO,Colorado,28000,70,1960000,902000,0.97,1901000,2005,39.7391667,-104.984167,CO_2005,25.31,70.21,-3.715,21.23
CT,Connecticut,0,0,0,0,0,0,2005,0,0,CT_2005,0,0,0,0
DE,Delaware,0,0,0,0,0,0,2005,0,0,DE_2005,0,0,0,0
DC,District of Columbia,0,0,0,0,0,0,2005,0,0,DC_2005,0,0,0,0
FL,Florida,160000,86,13760000,2477000,0.87,11971000,2005,30.4518,-84.27277,FL_2005,58.7,83.89,14.833,28.827
GA,Georgia,59000,49,2891000,434000,0.89,2573000,2005,-84.27277,-84.39,GA_2005,45.78,81.69,7.656,27.604
HI,Hawaii,9000,131,1179000,283000,1.43,1686000,2005,21.30895,-157.826182,HI_2005,70.24,77.38,21.244,25.21
ID,Idaho,95000,37,3515000,1793000,0.8,2812000,2005,43.613739,-116.237651,ID_2005,21.53,66.67,-5.818,19.261
IL,Illinois,8000,85,680000,408000,1.84,1251000,2005,39.78325,-89.650373,IL_2005,26.71,77.13,-2.939,25.071
IN,Indiana,8000,64,512000,189000,1.18,604000,2005,39.790942,-86.147685,IN_2005,27.24,76.56,-2.642,24.757
IA,Iowa,28000,88,2464000,1232000,1.21,2981000,2005,41.590939,-93.620866,IA_2005,19.93,76.16,-6.704,24.532
KS,Kansas,16000,50,8.00E+05,328000,1.05,840000,2005,-93.620866,-95.69,KS_2005,30.08,79.79,-1.069,26.548
KY,Kentucky,5000,50,250000,40000,2.08,520000,2005,38.197274,38.197274,KY_2005,33.35,78.99,0.752,26.105
LA,Louisiana,35000,97,3395000,611000,0.72,2444000,2005,30.45809,-91.140229,LA_2005,49.82,84.14,9.901,28.969
ME,Maine,8000,26,208000,193000,1.66,345000,2005,44.323535,-69.765261,ME_2005,11.74,66.66,-11.254,19.257
MD,Maryland,0,0,0,0,0,0,2005,38.972945,-76.501157,MD_2005,34.08,77.84,1.158,25.465
MA,Massachusetts,0,0,0,0,0,0,2005,0,0,MA_2005,0,0,0,0
MI,Michigan,65000,68,4420000,2519000,0.94,4155000,2005,42.7335,-84.5467,MI_2005,18.79,70.7,-7.339,21.501
MN,Minnesota,120000,74,8880000,1598000,0.9,7992000,2005,44.95,-93.094,MN_2005,8.3,71.09,-13.165,21.714
MS,Mississippi,16000,80,1280000,346000,0.67,858000,2005,32.32,-90.207,MS_2005,45.13,83.15,7.296,28.417
MO,Missouri,15000,50,750000,180000,1.22,915000,2005,38.572954,-92.189283,MO_2005,30.97,79.1,-0.575,26.165
MT,Montana,130000,67,8710000,3136000,0.86,7491000,2005,46.595805,-112.027031,MT_2005,17.83,67.86,-7.872,19.92
NE,Nebraska,40000,68,2720000,2530000,0.87,2366000,2005,40.809868,-96.675345,NE_2005,23.3,76.91,-4.835,24.95
NV,Nevada,12000,46,552000,442000,3.11,1717000,2005,39.160949,-119.753877,NV_2005,31.73,76.2,-0.15,24.555
NH,New Hampshire,0,0,0,0,0,0,2005,0,0,NH_2005,0,0,0,0
NJ,New Jersey,12000,32,384000,104000,1.2,461000,2005,40.221741,-74.756138,NJ_2005,28.94,76.26,-1.7,24.591
NM,New Mexico,7000,49,343000,113000,1.03,353000,2005,35.667231,-105.964575,NM_2005,36.55,75.73,2.53,24.295
NY,New York,59000,73,4307000,2283000,1.34,5771000,2005,42.659829,-73.781339,NY_2005,19.47,72.43,-6.959,22.462
NC,North Carolina,10000,54,540000,146000,1.88,1015000,2005,35.771,-78.638,NC_2005,40.55,79.98,4.751,26.658
ND,North Dakota,370000,91,33670000,8418000,0.83,27946000,2005,48.813343,-100.779004,ND_2005,6.7,70.67,-14.057,21.485
OH,Ohio,15000,69,1035000,580000,1.4,1449000,2005,39.962245,-83.000647,OH_2005,27.6,76.26,-2.443,24.589
OK,Oklahoma,0,0,0,0,0,0,2005,35.482309,-97.534994,OK_2005,38.6,81.31,3.666,27.394
OR,Oregon,39000,42,1638000,557000,1.08,1769000,2005,44.931109,-123.029159,OR_2005,31.81,67.43,-0.103,19.682
PA,Pennsylvania,28000,56,1568000,8.00E+05,1.12,1756000,2005,40.269789,-76.875613,PA_2005,26.68,74.24,-2.957,23.468
RI,Rhode Island,0,0,0,0,0,0,2005,0,0,RI_2005,0,0,0,0
SC,South Carolina,0,0,0,0,0,0,2005,34,-81.035,SC_2005,45.1,82.21,7.278,27.896
SD,South Dakota,220000,79,17380000,11818000,0.83,14425000,2005,44.367966,-100.336378,SD_2005,16.92,75.23,-8.378,24.014
TN,Tennessee,7000,55,385000,92000,1.67,643000,2005,36.165,-86.784,TN_2005,36.5,79.5,2.502,26.387
TX,Texas,84000,71,5964000,954000,0.86,5129000,2005,30.266667,-97.75,TX_2005,47.17,82.97,8.425,28.315
UT,Utah,24000,45,1080000,346000,0.95,1026000,2005,40.7547,-111.892622,UT_2005,28.45,74.2,-1.975,23.447
VT,Vermont,6000,91,546000,169000,1.12,612000,2005,44.26639,-72.57194,VT_2005,15.05,69.46,-9.414,20.811
VA,Virginia,8000,37,296000,59000,2.2,651000,2005,37.54,-77.46,VA_2005,35.38,78.07,1.878,25.592
WA,Washington,51000,55,2805000,1935000,1.01,2833000,2005,47.042418,-122.893077,WA_2005,29.33,65.68,-1.485,18.709
WV,West Virginia,8000,51,408000,102000,1.29,526000,2005,38.349497,-81.633294,WV_2005,30.74,75.53,-0.702,24.184
WI,Wisconsin,64000,83,5312000,2922000,1.14,6056000,2005,43.074722,-89.384444,WI_2005,15.09,71.25,-9.394,21.808
WY,Wyoming,40000,56,2240000,291000,0.89,1994000,2005,41.145548,-104.802042,WY_2005,21.11,68.37,-6.051,20.205
PR,Puerto Rico,0,0,0,0,0,0,2005,0,0,PR_2005,0,0,0,0
AL,Alabama,11000,72,792000,230000,1.21,958000,2006,32.361538,-86.279118,AL_2006,46.43,83.26,8.016,28.479
AK,Alaska,0,0,0,0,0,0,2006,0,0,AK_2006,0,0,0,0
AZ,Arizona,30000,65,1950000,839000,0.91,1775000,2006,33.448457,-112.073844,AZ_2006,41.1,82.76,5.057,28.201
AR,Arkansas,32000,76,2432000,730000,0.89,2164000,2006,34.736009,-92.331122,AR_2006,41.03,82.94,5.019,28.3
CA,California,380000,52,19760000,7706000,0.97,19167000,2006,38.555605,-121.468926,CA_2006,44.02,79.3,6.676,26.279
CO,Colorado,36000,75,2700000,1458000,1.04,2808000,2006,39.7391667,-104.984167,CO_2006,26.17,69.88,-3.238,21.047
CT,Connecticut,0,0,0,0,0,0,2006,0,0,CT_2006,0,0,0,0
DE,Delaware,0,0,0,0,0,0,2006,0,0,DE_2006,0,0,0,0
DC,District of Columbia,0,0,0,0,0,0,2006,0,0,DC_2006,0,0,0,0
FL,Florida,170000,81,13770000,1790000,1,13770000,2006,30.4518,-84.27277,FL_2006,59.48,83.38,15.264,28.545
GA,Georgia,63000,74,4662000,746000,1.2,5594000,2006,-84.27277,-84.39,GA_2006,48.27,82.53,9.037,28.074
HI,Hawaii,10000,93,930000,233000,1.21,1125000,2006,21.30895,-157.826182,HI_2006,69.41,76.72,20.781,24.845
ID,Idaho,95000,44,4180000,2592000,0.97,4055000,2006,43.613739,-116.237651,ID_2006,23.58,69.92,-4.679,21.068
IL,Illinois,10000,66,660000,356000,2.14,1412000,2006,39.78325,-89.650373,IL_2006,31.21,78.07,-0.439,25.593
IN,Indiana,7000,54,378000,125000,1.58,597000,2006,39.790942,-86.147685,IN_2006,32.07,76.86,0.039,24.923
IA,Iowa,26000,84,2184000,1441000,1.37,2992000,2006,41.590939,-93.620866,IA_2006,25.86,77.4,-3.412,25.22
KS,Kansas,14000,55,770000,246000,1.17,901000,2006,-93.620866,-95.69,KS_2006,34.64,82.07,1.468,27.814
KY,Kentucky,5000,56,280000,70000,2.19,613000,2006,38.197274,38.197274,KY_2006,36.18,78.28,2.322,25.713
LA,Louisiana,30000,90,2700000,675000,0.9,2430000,2006,30.45809,-91.140229,LA_2006,51.43,84.3,10.794,29.057
ME,Maine,11000,23,253000,86000,1.6,405000,2006,44.323535,-69.765261,ME_2006,19.07,68.73,-7.181,20.406
MD,Maryland,0,0,0,0,0,0,2006,38.972945,-76.501157,MD_2006,36.51,77.76,2.503,25.42
MA,Massachusetts,0,0,0,0,0,0,2006,0,0,MA_2006,0,0,0,0
MI,Michigan,72000,55,3960000,2099000,1.15,4554000,2006,42.7335,-84.5467,MI_2006,22.97,71.68,-5.015,22.044
MN,Minnesota,125000,80,1.00E+07,3300000,0.94,9400000,2006,44.95,-93.094,MN_2006,13.14,73.7,-10.477,23.164
MS,Mississippi,14000,98,1372000,453000,0.93,1276000,2006,32.32,-90.207,MS_2006,46.66,84.13,8.142,28.962
MO,Missouri,15000,46,690000,117000,0.98,676000,2006,38.572954,-92.189283,MO_2006,34.26,80.07,1.255,26.704
MT,Montana,132000,79,10428000,1981000,0.95,9907000,2006,46.595805,-112.027031,MT_2006,22.86,71.52,-5.079,21.958
NE,Nebraska,47000,73,3431000,3843000,0.93,3191000,2006,40.809868,-96.675345,NE_2006,28.03,78.68,-2.207,25.934
NV,Nevada,9000,37,333000,50000,3.62,1205000,2006,39.160949,-119.753877,NV_2006,30.4,76.65,-0.891,24.808
NH,New Hampshire,0,0,0,0,0,0,2006,0,0,NH_2006,0,0,0,0
NJ,New Jersey,9000,36,324000,152000,1.14,369000,2006,40.221741,-74.756138,NJ_2006,33.47,76.44,0.815,24.688
NM,New Mexico,7000,48,336000,104000,1.19,4.00E+05,2006,35.667231,-105.964575,NM_2006,34.2,75.23,1.223,24.017
NY,New York,58000,64,3712000,2376000,1.3,4826000,2006,42.659829,-73.781339,NY_2006,25.66,72.46,-3.521,22.479
NC,North Carolina,10000,50,5.00E+05,215000,1.57,785000,2006,35.771,-78.638,NC_2006,42.42,79.2,5.79,26.223
ND,North Dakota,350000,74,25900000,7770000,0.91,23569000,2006,48.813343,-100.779004,ND_2006,15.63,74.73,-9.095,23.739
